signal_date,equities_tilt,equities_price,gold_tilt,gold_price,bonds_tilt,bonds_price,crypto_tilt,crypto_price,fx_tilt,fx_price,tilt_pnl_21d,neutral_pnl_21d,tilt_beat_21d,status_21d,tilt_pnl_63d,neutral_pnl_63d,tilt_beat_63d,status_63d,tilt_pnl_126d,neutral_pnl_126d,tilt_beat_126d,status_126d
2025-04-14,TILT UP,533.0098,NEUTRAL,3204.8,NEUTRAL,83.0767,NEUTRAL,48.28,NEUTRAL,26.4564,4.795,4.844,0,RESOLVED,10.86,10.822,1,RESOLVED,14.582,14.137,1,RESOLVED
2025-04-21,TILT UP,508.0558,NEUTRAL,3406.2,NEUTRAL,81.6432,NEUTRAL,49.72,NEUTRAL,26.147,7.023,6.287,1,RESOLVED,9.655,8.845,1,RESOLVED,13.893,12.743,1,RESOLVED
2025-04-28,TILT UP,544.6069,TILT UP,3332.5,NEUTRAL,84.9184,NEUTRAL,53.88,NEUTRAL,26.3211,3.709,4.007,0,RESOLVED,6.12,6.245,0,RESOLVED,0.0,0.0,0,RESOLVED
2025-05-05,TILT UP,557.1234,TILT UP,3311.3,NEUTRAL,83.1252,NEUTRAL,53.63,NEUTRAL,26.5725,0.0,0.0,0,RESOLVED,6.17,6.334,0,RESOLVED,11.655,11.563,1,RESOLVED
2025-05-12,TILT UP,576.3826,TILT UP,3220.0,NEUTRAL,82.1723,NEUTRAL,57.88,NEUTRAL,27.1237,2.33,2.151,1,RESOLVED,6.724,6.984,0,RESOLVED,11.445,11.026,1,RESOLVED
2025-05-19,TILT UP,588.1082,TILT UP,3228.8999,NEUTRAL,81.9913,NEUTRAL,59.99,NEUTRAL,26.7755,1.77,1.732,1,RESOLVED,5.598,5.611,0,RESOLVED,10.469,9.761,1,RESOLVED
2025-05-26,NEUTRAL,,NEUTRAL,,UNDERWEIGHT,,NEUTRAL,,NEUTRAL,,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED
2025-06-02,TILT UP,585.9925,TILT UP,3370.6001,NEUTRAL,81.4453,NEUTRAL,59.36,NEUTRAL,26.3597,0.507,0.406,1,RESOLVED,4.39,4.613,0,RESOLVED,13.711,13.543,1,RESOLVED
2025-06-09,TILT UP,592.8834,TILT UP,3332.1001,NEUTRAL,81.7131,NEUTRAL,61.77,NEUTRAL,26.4661,0.64,0.505,1,RESOLVED,4.274,4.461,0,RESOLVED,12.509,11.749,1,RESOLVED
2025-06-16,TILT UP,595.8494,TILT UP,3396.3999,NEUTRAL,81.7322,NEUTRAL,61.8,NEUTRAL,26.3017,0.442,0.355,1,RESOLVED,3.182,3.315,0,RESOLVED,13.174,12.067,1,RESOLVED
2025-06-23,TILT UP,595.1022,TILT UP,3377.7,NEUTRAL,82.9851,NEUTRAL,58.67,NEUTRAL,26.3888,3.887,4.426,0,RESOLVED,3.821,3.898,0,RESOLVED,13.013,12.473,1,RESOLVED
2025-06-30,NEUTRAL,612.6534,TILT UP,3294.3999,TILT UP,84.4005,NEUTRAL,61.21,NEUTRAL,25.9923,3.264,3.373,0,RESOLVED,0.0,0.0,0,RESOLVED,10.543,9.615,1,RESOLVED
2025-07-07,NEUTRAL,615.4595,TILT UP,3332.2,OVERWEIGHT,82.6899,NEUTRAL,61.4,NEUTRAL,26.176,2.366,2.783,0,RESOLVED,5.596,5.229,1,RESOLVED,10.778,9.655,1,RESOLVED
2025-07-14,NEUTRAL,619.5547,TILT UP,3351.5,OVERWEIGHT,82.1811,NEUTRAL,68.18,NEUTRAL,26.3888,-0.069,-0.22,1,RESOLVED,4.637,4.042,1,RESOLVED,4.318,2.495,1,RESOLVED
2025-07-21,NEUTRAL,623.4815,TILT UP,3401.8999,TILT UP,82.5555,NEUTRAL,66.33,NEUTRAL,26.3404,0.393,0.583,0,RESOLVED,4.706,4.15,1,RESOLVED,4.001,2.233,1,RESOLVED
2025-07-28,NEUTRAL,631.5828,TILT UP,3309.1001,TILT UP,82.4307,NEUTRAL,67.1,TILT UP,26.5918,0.219,0.176,1,RESOLVED,6.017,5.27,1,RESOLVED,5.102,2.853,1,RESOLVED
2025-08-04,NEUTRAL,625.8613,TILT UP,3374.3999,TILT UP,84.8562,NEUTRAL,65.2,NEUTRAL,26.6498,-0.296,-0.308,1,RESOLVED,9.518,8.93,1,RESOLVED,5.917,4.132,1,RESOLVED
2025-08-11,NEUTRAL,630.5714,NEUTRAL,3353.1001,NEUTRAL,84.2105,NEUTRAL,67.64,NEUTRAL,26.6305,0.0,0.0,0,RESOLVED,7.288,7.288,0,RESOLVED,2.614,2.614,0,RESOLVED
2025-08-18,NEUTRAL,637.8893,TILT UP,3331.7,TILT UP,83.0156,NEUTRAL,66.05,NEUTRAL,26.5048,2.992,2.27,1,RESOLVED,10.57,8.753,1,RESOLVED,7.463,4.988,1,RESOLVED
2025-08-25,NEUTRAL,637.0662,NEUTRAL,3373.8,NEUTRAL,83.642,NEUTRAL,62.88,NEUTRAL,26.6402,4.57,4.57,0,RESOLVED,8.575,8.575,0,RESOLVED,4.704,4.704,0,RESOLVED
2025-09-01,NEUTRAL,,NEUTRAL,,NEUTRAL,,NEUTRAL,,NEUTRAL,,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED
2025-09-08,NEUTRAL,643.3727,TILT UP,3638.1001,NEUTRAL,86.8038,NEUTRAL,63.7,TILT UP,26.4081,2.97,2.824,1,RESOLVED,5.187,4.426,1,RESOLVED,6.992,5.161,1,RESOLVED
2025-09-15,NEUTRAL,655.3511,TILT UP,3682.2,NEUTRAL,87.2101,NEUTRAL,65.5,TILT UP,26.3984,4.786,4.668,1,RESOLVED,-0.196,-1.547,1,RESOLVED,0.0,0.0,0,RESOLVED
2025-09-22,NEUTRAL,663.0645,TILT UP,3740.7,NEUTRAL,85.7978,NEUTRAL,63.65,TILT UP,26.4274,4.259,3.721,1,RESOLVED,-0.596,-1.917,1,RESOLVED,7.593,5.092,1,RESOLVED
2025-09-29,NEUTRAL,659.9224,TILT UP,3820.8999,TILT DOWN,86.6974,NEUTRAL,64.97,NEUTRAL,26.6305,4.705,3.659,1,RESOLVED,-1.094,-2.417,1,RESOLVED,0.998,-1.273,1,RESOLVED
2025-10-06,NEUTRAL,667.8075,TILT UP,3948.5,NEUTRAL,86.0674,NEUTRAL,71.29,NEUTRAL,26.7079,-0.449,-0.663,1,RESOLVED,-3.658,-4.798,1,RESOLVED,-1.269,-4.365,1,RESOLVED
2025-10-13,NEUTRAL,659.286,NEUTRAL,4108.6001,TILT DOWN,87.9116,NEUTRAL,65.81,NEUTRAL,27.0656,-1.676,-1.629,0,RESOLVED,-4.755,-4.674,0,RESOLVED,0.0,0.0,0,RESOLVED
2025-10-20,TILT UP,667.4993,TILT UP,4336.3999,NEUTRAL,88.8628,NEUTRAL,62.93,TILT UP,26.9013,-1.893,-2.057,1,RESOLVED,-2.439,-3.765,1,RESOLVED,-2.804,-6.086,1,RESOLVED
2025-10-27,NEUTRAL,681.3604,TILT UP,4001.8999,NEUTRAL,89.0861,NEUTRAL,65.28,NEUTRAL,26.9593,-4.782,-5.551,1,RESOLVED,-2.627,-3.871,1,RESOLVED,0.446,-2.848,1,RESOLVED
2025-11-03,NEUTRAL,679.4711,NEUTRAL,4000.3,NEUTRAL,87.4206,NEUTRAL,60.53,NEUTRAL,27.2977,-4.009,-4.009,0,RESOLVED,0.44,0.44,0,RESOLVED,-2.651,-2.651,0,RESOLVED
2025-11-10,NEUTRAL,677.5819,TILT UP,4111.7998,NEUTRAL,87.2355,NEUTRAL,60.19,TILT UP,27.2494,-3.149,-4.019,1,RESOLVED,1.804,0.735,1,RESOLVED,-0.268,-2.705,1,RESOLVED
2025-11-17,NEUTRAL,661.9011,NEUTRAL,4068.3,NEUTRAL,86.7874,NEUTRAL,52.1,NEUTRAL,27.2494,1.417,1.417,0,RESOLVED,0.0,0.0,0,RESOLVED,-3.835,-3.835,0,RESOLVED
2025-11-24,NEUTRAL,664.9438,NEUTRAL,4091.8999,NEUTRAL,87.6836,TILT DOWN,50.57,NEUTRAL,27.4524,2.186,0.964,1,RESOLVED,9.255,7.009,1,RESOLVED,0.961,-5.192,1,RESOLVED
2025-12-01,NEUTRAL,676.4185,NEUTRAL,4239.2998,NEUTRAL,86.7845,TILT DOWN,48.5,NEUTRAL,27.2687,2.08,2.312,0,RESOLVED,3.781,1.144,1,RESOLVED,2.065,-2.5,1,RESOLVED
2025-12-08,NEUTRAL,679.7595,NEUTRAL,4187.2002,NEUTRAL,85.9144,TILT DOWN,51.52,NEUTRAL,27.1913,1.409,0.264,1,RESOLVED,6.899,0.433,1,RESOLVED,4.546,-0.71,1,RESOLVED
2025-12-15,NEUTRAL,676.8759,NEUTRAL,4306.7002,NEUTRAL,85.4451,NEUTRAL,48.66,NEUTRAL,27.0076,3.485,3.485,0,RESOLVED,0.0,0.0,0,RESOLVED,2.311,2.311,0,RESOLVED
2025-12-22,NEUTRAL,682.9648,NEUTRAL,4444.6001,NEUTRAL,85.7384,TILT DOWN,50.09,NEUTRAL,27.03,2.176,2.442,0,RESOLVED,5.091,-2.321,1,RESOLVED,3.59,0.035,1,RESOLVED
2025-12-29,NEUTRAL,685.9766,NEUTRAL,4325.1001,NEUTRAL,86.4352,NEUTRAL,49.38,NEUTRAL,26.98,0.0,0.0,0,RESOLVED,1.022,1.022,0,RESOLVED,1.01,1.01,0,RESOLVED
2026-01-05,NEUTRAL,685.8469,NEUTRAL,4436.8999,TILT DOWN,85.8366,NEUTRAL,53.46,TILT UP,27.07,2.48,2.56,0,RESOLVED,-3.156,-3.091,0,RESOLVED,1.301,1.227,1,RESOLVED
2026-01-12,NEUTRAL,693.2667,NEUTRAL,4604.2998,TILT DOWN,86.0427,NEUTRAL,51.87,TILT UP,27.28,-3.623,-3.61,0,RESOLVED,-3.39,-3.44,1,RESOLVED,-2.002,-2.199,1,RESOLVED
2026-01-19,NEUTRAL,,UNDERWEIGHT,,UNDERWEIGHT,,TILT DOWN,,NEUTRAL,,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED
2026-01-26,TILT UP,690.8433,TILT DOWN,5079.7002,TILT DOWN,86.71,NEUTRAL,49.65,TILT UP,26.78,0.0,0.0,0,RESOLVED,-11.679,-12.201,1,RESOLVED,-0.192,-5.01,1,RESOLVED
2026-02-02,NEUTRAL,693.516,TILT DOWN,4622.5,TILT DOWN,85.2684,NEUTRAL,44.22,NEUTRAL,26.99,-6.534,-1.154,0,RESOLVED,-5.633,-3.644,0,RESOLVED,0.549,0.378,1,RESOLVED
2026-02-09,NEUTRAL,692.06,TILT DOWN,5050.8999,TILT DOWN,86.224,NEUTRAL,40.11,NEUTRAL,26.79,-0.765,0.854,0,RESOLVED,0.812,-1.143,1,RESOLVED,0.626,0.431,1,RESOLVED
2026-02-16,TILT DOWN,,UNDERWEIGHT,,UNDERWEIGHT,,NEUTRAL,,UNDERWEIGHT,,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED,,,,PENDING
2026-02-23,NEUTRAL,680.5315,TILT DOWN,5204.7002,TILT DOWN,88.4111,NEUTRAL,36.55,NEUTRAL,27.09,3.692,1.324,1,RESOLVED,7.809,2.356,1,RESOLVED,,,,PENDING
2026-03-02,NEUTRAL,684.5106,TILT DOWN,5294.3999,TILT DOWN,88.5766,NEUTRAL,39.195,NEUTRAL,27.33,-2.075,-6.538,1,RESOLVED,6.446,-0.013,1,RESOLVED,,,,PENDING
2026-03-09,NEUTRAL,676.4227,NEUTRAL,5091.5,TILT DOWN,88.201,NEUTRAL,39.13,NEUTRAL,27.46,-6.716,-6.55,0,RESOLVED,4.66,4.317,1,RESOLVED,,,,PENDING
2026-03-16,NEUTRAL,667.2079,NEUTRAL,4994.0,TILT DOWN,86.2043,NEUTRAL,41.94,TILT UP,27.73,-3.798,-3.814,1,RESOLVED,1.388,1.241,1,RESOLVED,,,,PENDING
2026-03-23,NEUTRAL,655.38,TILT UP,4404.1001,TILT DOWN,85.3937,NEUTRAL,40.05,NEUTRAL,27.56,5.005,4.542,1,RESOLVED,0.0,0.0,0,RESOLVED,,,,PENDING
2026-03-30,NEUTRAL,631.97,TILT DOWN,4526.0,TILT DOWN,85.7793,NEUTRAL,37.68,NEUTRAL,27.98,9.9,8.466,1,RESOLVED,10.906,7.191,1,RESOLVED,,,,PENDING
2026-04-06,NEUTRAL,658.93,NEUTRAL,4656.7998,TILT DOWN,85.993,NEUTRAL,39.52,NEUTRAL,27.83,5.079,4.846,1,RESOLVED,0.075,0.072,1,RESOLVED,,,,PENDING
2026-04-13,NEUTRAL,686.1,TILT UP,4742.3999,NEUTRAL,86.0922,NEUTRAL,41.59,NEUTRAL,27.38,1.258,1.984,0,RESOLVED,0.19,0.213,0,RESOLVED,,,,PENDING
2026-04-20,NEUTRAL,708.72,NEUTRAL,4806.6001,TILT DOWN,86.3899,NEUTRAL,43.25,TILT UP,27.32,2.468,2.401,1,RESOLVED,,,,PENDING,,,,PENDING
2026-04-27,NEUTRAL,715.17,NEUTRAL,4675.3999,NEUTRAL,85.6258,NEUTRAL,43.56,TILT UP,27.45,0.235,0.208,1,RESOLVED,,,,PENDING,,,,PENDING
2026-05-04,NEUTRAL,718.01,TILT UP,4519.5,NEUTRAL,84.6271,NEUTRAL,45.4,TILT UP,27.48,0.0,0.0,0,RESOLVED,,,,PENDING,,,,PENDING
2026-05-11,NEUTRAL,739.3,TILT UP,4718.7002,NEUTRAL,85.2248,NEUTRAL,46.47,TILT UP,27.35,-3.665,-3.676,1,RESOLVED,,,,PENDING,,,,PENDING
2026-05-18,NEUTRAL,738.65,TILT UP,4552.5,NEUTRAL,83.2326,NEUTRAL,43.53,TILT UP,27.7,0.143,0.118,1,RESOLVED,,,,PENDING,,,,PENDING
2026-05-25,UNDERWEIGHT,,NEUTRAL,,UNDERWEIGHT,,TILT DOWN,,NEUTRAL,,0.0,0.0,0,RESOLVED,,,,PENDING,,,,PENDING
2026-06-01,NEUTRAL,758.54,TILT UP,4475.2002,NEUTRAL,85.47,NEUTRAL,40.49,NEUTRAL,27.76,,,,PENDING,,,,PENDING,,,,PENDING
2026-06-08,NEUTRAL,,NEUTRAL,,NEUTRAL,,NEUTRAL,,NEUTRAL,28.03,,,,PENDING,,,,PENDING,,,,PENDING
2026-06-15,NEUTRAL,,NEUTRAL,,NEUTRAL,,NEUTRAL,,NEUTRAL,27.97,,,,PENDING,,,,PENDING,,,,PENDING
